+----------+------+
|article_id| count|
+----------+------+
| 494494334|1482.0|
| 494494224|1139.0|
| 494494330| 595.0|
| 494494245| 518.0|
| 494494197| 384.0|
| 494581913| 361.0|
| 494493016| 340.0|
| 494581914| 252.0|
| 494494199| 181.0|
| 493839383| 131.0|
| 494581818| 130.0|
| 494581835| 117.0|
| 494421561| 114.0|
| 494421558| 113.0|
| 493177828| 111.0|
| 491420282| 101.0|
| 494494198|  91.0|
| 494581834|  89.0|
| 494581888|  89.0|
| 491897378|  86.0|
| 493177821|  86.0|
| 493839374|  84.0|
| 491996676|  81.0|
| 491897379|  77.0|
| 491946401|  76.0|
| 494581806|  67.0|
| 491667268|  65.0|
| 494581816|  57.0|
| 491570804|  55.0|
| 491897380|  54.0|
| 494581807|  53.0|
| 494421805|  46.0|
| 494581889|  45.0|
| 492574958|  44.0|
| 491667267|  44.0|
| 493177820|  42.0|
| 494421802|  41.0|
| 491666925|  39.0|
| 491570805|  38.0|
| 493664869|  36.0|
+----------+------+
